trajectory_msgs/msg/MultiDOFJointTrajectoryPoint	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
type_description_interfaces/msg/Field	OK_STRINGS	fixed part 286 B, strings bounded at runtime
type_description_interfaces/msg/FieldType	OK	max 280 B
type_description_interfaces/msg/IndividualTypeDescription	NEEDS_CAP	field 'fields': its capacity can't be auto-derived - its own nested type ('FieldData') isn't fixed-size, so there's no fixed per-element wire size to divide the remaining budget by - add an explicit '# @capacity <N>' annotation instead
type_description_interfaces/msg/KeyValue	OK_STRINGS	fixed part 4 B, strings bounded at runtime
type_description_interfaces/msg/TypeDescription	NEEDS_CAP	field 'fields': its capacity can't be auto-derived - its own nested type ('FieldData') isn't fixed-size, so there's no fixed per-element wire size to divide the remaining budget by - add an explicit '# @capacity <N>' annotation instead
type_description_interfaces/msg/TypeSource	OK_STRINGS	fixed part 6 B, strings bounded at runtime
type_description_interfaces/srv/GetTypeDescription	NEEDS_CAP	field 'fields': its capacity can't be auto-derived - its own nested type ('FieldData') isn't fixed-size, so there's no fixed per-element wire size to divide the remaining budget by - add an explicit '# @capacity <N>' annotation instead
unique_identifier_msgs/msg/UUID	OK	max 16 B
visualization_msgs/msg/ImageMarker	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
visualization_msgs/msg/InteractiveMarker	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('header') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
visualization_msgs/msg/InteractiveMarkerControl	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('header') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
visualization_msgs/msg/InteractiveMarkerFeedback	OK_STRINGS	fixed part 105 B, strings bounded at runtime
visualization_msgs/msg/InteractiveMarkerInit	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('header') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
visualization_msgs/msg/InteractiveMarkerPose	OK_STRINGS	fixed part 70 B, strings bounded at runtime
visualization_msgs/msg/InteractiveMarkerUpdate	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('header') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
visualization_msgs/msg/Marker	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('header') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
visualization_msgs/msg/MarkerArray	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('header') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
visualization_msgs/msg/MenuEntry	OK_STRINGS	fixed part 13 B, strings bounded at runtime
visualization_msgs/msg/MeshFile	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('filename') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
visualization_msgs/msg/UVCoordinate	OK	max 8 B
visualization_msgs/srv/GetInteractiveMarkers	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('header') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
